"Dataset","Sample","Assembly","total_reads","size","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2329","NGS_Ode","SAMD00025508","vpipe",703994,105376450,50574.31,18439.14," 4;55;06",1347804,18737312," 389%"
"V259","NGS_Ode","SAMD00025509","shiver",578044,79121286,2216.25,29.81," 36;06.65",1342016,10802528," 103%"
"V2131","NGS_Ode","SAMD00025509","smaltalign",578044,79121286,1882.73,15.77," 10;58.11",1427424,1968216," 288%"
"V2230","NGS_Ode","SAMD00025509","viralngs",578044,79121286,1139.63,32.53," 8;57.05",1407372,7338016," 218%"
"V2330","NGS_Ode","SAMD00025509","vpipe",578044,79121286,46281.97,16622.29," 4;29;12",1179864,17806560," 389%"
"V260","NGS_Ode","SAMD00025510","shiver",571460,81208996,7077.64,55.72," 1;53;58",1475816,24292448," 104%"
"V2132","NGS_Ode","SAMD00025510","smaltalign",571460,81208996,2172.66,16.37," 13;06.51",1427344,2013208," 278%"
"V2231","NGS_Ode","SAMD00025510","viralngs",571460,81208996,1046.25,32.35," 6;54.17",1309568,7401792," 260%"
"V2331","NGS_Ode","SAMD00025510","vpipe",571460,81208996,34421.71,10730.51," 3;14;26",1181168,17555880," 387%"
"V261","NGS_Ode","SAMD00025511","shiver",263654,43334151,3786.02,34.11," 1;01;18",1540584,9616912," 103%"
"V2133","NGS_Ode","SAMD00025511","smaltalign",263654,43334151,2109.67,16.86," 12;19.68",1427164,2145216," 287%"
"V2232","NGS_Ode","SAMD00025511","viralngs",263654,43334151,537.22,18.71," 2;56.10",873996,3256824," 315%"
"V2332","NGS_Ode","SAMD00025511","vpipe",263654,43334151,21100.15,6051.28," 1;57;53",1179864,15205552," 383%"
"V262","NGS_Ode","SAMD00025512","shiver",784696,113663953,14035.81,101.43," 3;45;37",1420940,42435360," 104%"
"V2134","NGS_Ode","SAMD00025512","smaltalign",784696,113663953,2133.18,16.32," 12;24.20",1427528,2028744," 288%"
"V2233","NGS_Ode","SAMD00025512","viralngs",784696,113663953,1545.5,44.56," 8;20.65",1422964,10510256," 317%"
"V2333","NGS_Ode","SAMD00025512","vpipe",784696,113663953,61693.7,24308.39," 6;06;17",1172224,18972896," 391%"
"V263","NGS_Ode","SAMD00025513","shiver",710850,114747883,7790.57,70.28," 2;05;26",1540360,25895320," 104%"
"V2135","NGS_Ode","SAMD00025513","smaltalign",710850,114747883,2238.97,16.63," 13;21.39",1427288,2126192," 281%"
"V2234","NGS_Ode","SAMD00025513","viralngs",710850,114747883,1555.83,43.25," 8;45.33",1389168,10474616," 304%"
"V2334","NGS_Ode","SAMD00025513","vpipe",710850,114747883,40386.03,13954.5," 3;53;20",1185208,18111416," 388%"
"V264","NGS_Ode","SAMD00025514","shiver",590704,93520742,6079.97,50.83," 1;37;51",1353840,19433120," 104%"
"V2136","NGS_Ode","SAMD00025514","smaltalign",590704,93520742,2783.34,22.98," 18;12.69",1427456,2137232," 256%"
"V2235","NGS_Ode","SAMD00025514","viralngs",590704,93520742,1330.74,39.39," 5;59.62",1465760,8851608," 380%"
"V2335","NGS_Ode","SAMD00025514","vpipe",590704,93520742,35659.25,11630.59," 3;23;15",1402884,17630096," 387%"
"V265","NGS_Ode","SAMD00025515","shiver",631522,102776470,7927.43,62.12," 2;07;06",1362144,25562480," 104%"
"V2137","NGS_Ode","SAMD00025515","smaltalign",631522,102776470,2651.54,18," 16;58.97",1429404,2188408," 261%"
"V2236","NGS_Ode","SAMD00025515","viralngs",631522,102776470,2025.52,46.99," 8;34.70",1394972,10946224," 402%"
"V2336","NGS_Ode","SAMD00025515","vpipe",631522,102776470,30943.59,10280.12," 2;57;48",1186500,17105704," 386%"
"V266","NGS_Ode","SAMD00025516","shiver",627250,98597560,6007.57,54.22," 1;37;04",1567780,19377152," 104%"
"V2138","NGS_Ode","SAMD00025516","smaltalign",627250,98597560,2689.62,17.33," 16;28.87",1428292,2165064," 273%"
"V2237","NGS_Ode","SAMD00025516","viralngs",627250,98597560,2142.41,44.67," 9;16.70",1364688,10795152," 392%"
"V2337","NGS_Ode","SAMD00025516","vpipe",627250,98597560,30153.64,10735.24," 2;56;06",1180904,16865624," 386%"
"V267","NGS_Ode","SAMD00025517","shiver",175302,29227675,2918.86,31.54," 47;13.26",1414492,7667480," 104%"
"V2139","NGS_Ode","SAMD00025517","smaltalign",175302,29227675,2078.58,17.8," 12;50.92",1427508,1912824," 271%"
"V2238","NGS_Ode","SAMD00025517","viralngs",175302,29227675,407.8,15.47," 2;07.67",751284,2434320," 331%"
"V2338","NGS_Ode","SAMD00025517","vpipe",175302,29227675,10968.82,2970.77," 1;01;54",1184904,14201344," 375%"
"V268","NGS_Ode","SAMD00025518","shiver",637678,103107504,8901.2,65.94," 2;23;08",1525608,25318008," 104%"
"V2140","NGS_Ode","SAMD00025518","smaltalign",637678,103107504,2635.14,17.49," 17;29.55",1427672,2189192," 252%"
"V2239","NGS_Ode","SAMD00025518","viralngs",637678,103107504,1931.64,44.82," 7;39.93",1407904,10671576," 429%"
"V2339","NGS_Ode","SAMD00025518","vpipe",637678,103107504,25634.37,7528.38," 2;23;41",1182844,17452968," 384%"
"V269","NGS_Ode","SAMD00025519","shiver",783432,125972071,9863.19,77.8," 2;38;26",1372220,32256368," 104%"
"V2141","NGS_Ode","SAMD00025519","smaltalign",783432,125972071,2629.28,21.88," 16;21.68",1427796,2154096," 270%"
"V2240","NGS_Ode","SAMD00025519","viralngs",783432,125972071,1865.56,51.56," 8;14.68",1462624,11872568," 387%"
"V2340","NGS_Ode","SAMD00025519","vpipe",783432,125972071,44647.37,16482.39," 4;21;57",1185212,18555256," 388%"
"V270","NGS_Ode","SAMD00025520","shiver",784580,121361583,6827.4,61.39," 1;50;03",1363272,25819664," 104%"
"V2142","NGS_Ode","SAMD00025520","smaltalign",784580,121361583,2465.31,18.01," 15;21.69",1427248,2120632," 269%"
"V2241","NGS_Ode","SAMD00025520","viralngs",784580,121361583,2038.6,49.32," 8;47.67",1433760,11732792," 395%"
"V2341","NGS_Ode","SAMD00025520","vpipe",784580,121361583,53744.16,20297.1," 5;15;59",1182044,19155672," 390%"
"V271","NGS_Ode","SAMD00025521","shiver",775686,117534927,5681.24,56.87," 1;30;32",1352528,23914280," 105%"
"V2143","NGS_Ode","SAMD00025521","smaltalign",775686,117534927,2286.1,18.29," 13;45.20",1428448,2079600," 279%"
"V2242","NGS_Ode","SAMD00025521","viralngs",775686,117534927,1642,46.94," 8;18.07",1408960,11163424," 339%"
"V2342","NGS_Ode","SAMD00025521","vpipe",775686,117534927,46717.94,16960.52," 4;32;50",1187828,18712488," 388%"
"V272","NGS_Ode","SAMD00025522","shiver",401822,66258257,6905.34,54.74," 1;50;52",1399376,19967920," 104%"
"V2144","NGS_Ode","SAMD00025522","smaltalign",401822,66258257,2310.97,16.62," 12;54.77",1428796,2214744," 300%"
"V2243","NGS_Ode","SAMD00025522","viralngs",401822,66258257,1504.15,33.2," 7;19.55",1230912,7295608," 349%"
"V2343","NGS_Ode","SAMD00025522","vpipe",401822,66258257,13592.06,3660.61," 1;16;41",1186512,15403800," 374%"
"V273","NGS_Ode","SAMD00025523","shiver",212250,34517934,1733.12,23.35," 28;17.16",1356816,5739912," 103%"
